NodeID,ConnectedNodeID,Distance,Coordinates,Intersection_Name
1077,1078,135,"(1341967.7500431389, 402350.0003414005)","['ESTELLA AVE', 'MICHIGAN ST']"
1077,1252,310,"(1341967.7500431389, 402350.0003414005)","['ESTELLA AVE', 'MICHIGAN ST']"
1078,1077,135,"(1341832.7499850541, 402350.25034089386)","['MICHIGAN ST', 'TAMPA WAY']"
1078,1239,133,"(1341832.7499850541, 402350.25034089386)","['MICHIGAN ST', 'TAMPA WAY']"
1078,1265,850,"(1341832.7499850541, 402350.25034089386)","['MICHIGAN ST', 'TAMPA WAY']"
1079,923,201,"(1346408.0000208914, 402262.4998602271)","['WALNUT ST', 'KOEHLER ST']"
1079,964,593,"(1346408.0000208914, 402262.4998602271)","['WALNUT ST', 'KOEHLER ST']"
1079,1080,248,"(1346408.0000208914, 402262.4998602271)","['WALNUT ST', 'KOEHLER ST']"
1080,776,355,"(1346656.4998519719, 402268.0001773089)","['FREMONT ST', 'WALNUT ST', 'LUTHER ST']"
1080,965,590,"(1346656.4998519719, 402268.0001773089)","['FREMONT ST', 'WALNUT ST', 'LUTHER ST']"
1080,1079,248,"(1346656.4998519719, 402268.0001773089)","['FREMONT ST', 'WALNUT ST', 'LUTHER ST']"
1081,923,243,"(1345962.9999266416, 402255.24987472594)","['STAMM AVE', 'WALNUT ST']"
1081,994,635,"(1345962.9999266416, 402255.24987472594)","['STAMM AVE', 'WALNUT ST']"
1081,1015,482,"(1345962.9999266416, 402255.24987472594)","['STAMM AVE', 'WALNUT ST']"
1081,1076,149,"(1345962.9999266416, 402255.24987472594)","['STAMM AVE', 'WALNUT ST']"
1082,734,591,"(1344425.2500493824, 404813.00000855327)","['EXCELSIOR ST', 'EMERALD ST']"
1082,1089,87,"(1344425.2500493824, 404813.00000855327)","['EXCELSIOR ST', 'EMERALD ST']"
1082,1135,386,"(1344425.2500493824, 404813.00000855327)","['EXCELSIOR ST', 'EMERALD ST']"
